pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
HALLMARK_E2F_TARGETS	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.65456504	-3.2293992	0	0	0	187	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3853	tags=68%, list=21%, signal=86%		negative	TRUE	TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.62255204	3.0265758	0	0	0	190	GSEA_ERpositive_vs_ERnegative_Hallmark	pos	gsea_report_for_na_pos_1779214203280.tsv	1948	tags=45%, list=11%, signal=50%		positive	TRUE	TRUE
HALLMARK_G2M_CHECKPOINT	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.6079698	-2.9797523	0	0	0	183	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3115	tags=58%, list=17%, signal=69%		negative	TRUE	TRUE
HALLMARK_MYC_TARGETS_V1	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.5927197	-2.9041023	0	0	0	187	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4658	tags=58%, list=26%, signal=78%		negative	TRUE	TRUE
HALLMARK_ALLOGRAFT_REJECTION	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.5199458	-2.5393193	0	0	0	190	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	6742	tags=75%, list=37%, signal=118%		negative	TRUE	TRUE
HALLMARK_MYC_TARGETS_V2	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.6146416	-2.4246998	0	0	0	57	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4404	tags=65%, list=24%, signal=85%		negative	TRUE	TRUE
HALLMARK_ESTROGEN_RESPONSE_LATE	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.49458718	2.4151144	0	0	0	193	GSEA_ERpositive_vs_ERnegative_Hallmark	pos	gsea_report_for_na_pos_1779214203280.tsv	2466	tags=41%, list=14%, signal=47%		positive	TRUE	TRUE
HALLMARK_MTORC1_SIGNALING	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.468967	-2.303069	0	0	0	191	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3849	tags=48%, list=21%, signal=60%		negative	TRUE	TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.41249627	-2.0487728	0	0.00020779223	0.001	194	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	6179	tags=57%, list=34%, signal=86%		negative	TRUE	TRUE
HALLMARK_INFLAMMATORY_RESPONSE	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.39807606	-1.9510267	0	0.00034181817	0.002	195	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	5438	tags=50%, list=30%, signal=70%		negative	TRUE	TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.4434119	-1.9211506	0	0.000549341	0.004	83	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	5124	tags=53%, list=28%, signal=74%		negative	TRUE	TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.37636012	-1.86931	0	0.00091531937	0.007	196	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	5072	tags=48%, list=28%, signal=66%		negative	TRUE	TRUE
HALLMARK_MITOTIC_SPINDLE	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3657976	-1.800739	0	0.0013190737	0.011	195	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4261	tags=38%, list=24%, signal=49%		negative	TRUE	TRUE
HALLMARK_SPERMATOGENESIS	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.35595205	-1.6258206	0.0021097045	0.006165583	0.057	112	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3022	tags=32%, list=17%, signal=38%		negative	TRUE	TRUE
HALLMARK_GLYCOLYSIS	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.32545632	-1.5979921	0	0.0076602707	0.076	195	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	5013	tags=42%, list=28%, signal=57%		negative	TRUE	TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.41095304	-1.5894601	0.004040404	0.0077883876	0.083	45	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4573	tags=44%, list=25%, signal=59%		negative	TRUE	TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3418439	-1.5391444	0.003921569	0.012484682	0.135	105	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4084	tags=36%, list=23%, signal=46%		negative	TRUE	TRUE
HALLMARK_BILE_ACID_METABOLISM	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.3621853	1.6293366	0	0.0142468605	0.06	109	GSEA_ERpositive_vs_ERnegative_Hallmark	pos	gsea_report_for_na_pos_1779214203280.tsv	4134	tags=39%, list=23%, signal=51%		positive	TRUE	TRUE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.40217653	-1.493398	0.034068137	0.019309994	0.213	42	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	1798	tags=24%, list=10%, signal=26%		negative	TRUE	TRUE
HALLMARK_HYPOXIA	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29605156	-1.4690028	0.006122449	0.022749355	0.256	188	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3159	tags=28%, list=17%, signal=34%		negative	TRUE	TRUE
HALLMARK_UV_RESPONSE_UP	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29869506	-1.424424	0.008281574	0.033200294	0.365	151	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	4011	tags=34%, list=22%, signal=43%		negative	TRUE	TRUE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.33353156	-1.392737	0.03557312	0.04016754	0.444	72	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	3543	tags=35%, list=20%, signal=43%		negative	TRUE	TRUE
HALLMARK_KRAS_SIGNALING_UP	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.26829866	-1.3394165	0.027504912	0.0590662	0.605	191	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	5036	tags=39%, list=28%, signal=54%		negative	TRUE	FALSE
HALLMARK_NOTCH_SIGNALING	Hallmark	ERpositive_vs_ERnegative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.38446102	-1.3439654	0.092	0.06012968	0.594	32	GSEA_ERpositive_vs_ERnegative_Hallmark	neg	gsea_report_for_na_neg_1779214203280.tsv	1995	tags=34%, list=11%, signal=39%		negative	TRUE	FALSE
